up,down,total,up10,down10,ROC
21,70,92,46.6,42.6,52.24215246636771
57,29,92,44.0,44.7,49.6054114994363
10,80,91,40.9,47.9,46.05855855855855
22,68,91,42.0,46.9,47.24409448818897
64,23,91,47.4,41.5,53.31833520809899
25,66,92,41.0,48.1,46.015712682379345
79,13,93,46.3,43.1,51.789709172259506
25,66,93,40.5,49.0,45.25139664804469
28,61,93,36.5,53.0,40.78212290502793
33,55,93,36.4,53.1,40.67039106145251
90,2,92,43.3,46.3,48.325892857142854
32,51,92,40.8,48.5,45.68868980963045
50,29,92,44.8,43.4,50.79365079365079
3,88,92,42.9,45.4,48.58437146092866
2,89,92,36.7,52.0,41.37542277339347
48,38,92,39.0,49.2,44.217687074829925
45,43,92,35.6,52.2,40.546697038724375
37,51,92,36.8,50.7,42.05714285714286
28,60,92,36.8,50.6,42.10526315789473
85,5,92,42.0,45.6,47.945205479452056
29,60,92,35.9,51.4,41.1225658648339
10,82,92,33.7,54.5,38.208616780045354
46,41,91,33.3,55.7,37.41573033707865
71,15,91,40.1,48.4,45.31073446327684
69,15,91,46.8,41.0,53.30296127562643
11,76,90,43.1,44.8,49.03299203640501
30,52,91,41.6,45.7,47.651775486827034
43,38,92,42.2,44.4,48.72979214780601
29,54,92,42.3,43.8,49.12891986062718
31,51,93,36.9,48.4,43.259085580304806
92,1,93,43.2,42.5,50.40840140023337
44,45,93,46.6,38.8,54.56674473067916
54,30,93,47.4,37.7,55.69917743830787
48,34,93,45.1,39.6,53.246753246753244
40,50,93,42.2,43.1,49.47245017584994
33,54,93,44.4,40.9,52.05158264947245
21,65,93,43.5,42.2,50.75845974329055
2,90,92,39.4,47.4,45.39170506912442
59,28,93,42.4,44.8,48.62385321100918
90,3,93,48.3,40.0,54.699886749716875
25,65,92,41.6,46.4,47.27272727272727
69,18,91,44.1,43.7,50.22779043280182
46,41,91,43.3,44.8,49.148694665153236
27,56,91,41.2,47.0,46.71201814058957
80,10,91,45.2,43.0,51.24716553287981
21,70,92,44.0,44.6,49.66139954853273
11,80,92,43.0,46.1,48.260381593714925
89,1,91,51.7,37.2,58.15523059617548
58,25,91,51.6,36.9,58.30508474576271
54,33,91,48.0,39.9,54.6075085324232
48,41,93,50.3,37.5,57.28929384965831
36,49,94,47.0,40.6,53.65296803652968
90,2,93,51.4,36.7,58.34279228149829
61,28,93,54.8,33.9,61.78128523111612
42,42,93,51.0,37.1,57.88876276958002
47,43,92,53.6,34.4,60.909090909090914
23,68,92,54.8,33.2,62.27272727272727
44,41,92,50.3,37.2,57.48571428571429
80,9,91,52.5,35.6,59.591373439273546
62,26,91,53.3,34.9,60.43083900226757
35,51,92,52.0,35.9,59.158134243458484
40,45,93,52.4,35.5,59.613196814562
30,60,93,46.4,41.3,52.907639680729766
47,39,93,45.0,42.4,51.48741418764302
32,57,93,44.0,43.9,50.05688282138794
59,29,93,45.2,42.5,51.53933865450399
18,73,93,44.7,43.0,50.96921322690992
60,32,94,46.3,42.1,52.375565610859724
88,2,94,47.1,41.4,53.22033898305085
16,75,94,42.5,46.3,47.86036036036037
55,32,93,44.5,44.4,50.0562429696288
27,66,93,43.2,46.5,48.16053511705686
26,66,95,42.8,47.1,47.608453837597324
71,21,95,45.2,45.3,49.944751381215475
53,35,94,47.3,43.1,52.32300884955751
55,32,95,46.9,43.4,51.93798449612403
30,61,95,48.1,42.2,53.266888150609084
75,18,95,49.6,40.8,54.86725663716815
65,19,95,47.3,42.5,52.672605790645875
22,69,95,47.9,41.9,53.34075723830735
11,80,94,43.5,46.7,48.22616407982262
88,5,94,49.6,40.6,54.988913525498894
94,0,94,56.4,34.0,62.38938053097345
